CA_name,YYYYQ_DOC,Mort_Amt
Burnside              ,20123,105797.0
Burnside              ,20124,186650.0
Calumet Heights       ,20051,110350.0
Calumet Heights       ,20052,112600.0
Calumet Heights       ,20053,113600.0
Calumet Heights       ,20054,125000.0
Calumet Heights       ,20061,124287.5
Calumet Heights       ,20062,120500.0
Calumet Heights       ,20063,117750.0
Calumet Heights       ,20064,144750.0
Calumet Heights       ,20071,134550.0
Calumet Heights       ,20072,126900.0
Calumet Heights       ,20073,132000.0
Calumet Heights       ,20074,153000.0
Calumet Heights       ,20081,143750.0
Calumet Heights       ,20082,144617.85499999998
Calumet Heights       ,20083,179100.0
Calumet Heights       ,20084,150803.5
Calumet Heights       ,20091,180000.0
Calumet Heights       ,20092,163349.0
Calumet Heights       ,20093,144253.0
Calumet Heights       ,20094,154849.0
Calumet Heights       ,20101,124175.0
Calumet Heights       ,20102,102485.5
Calumet Heights       ,20103,139248.5
Calumet Heights       ,20104,112279.5
Calumet Heights       ,20111,135350.0
Calumet Heights       ,20112,114355.0
Calumet Heights       ,20113,86379.0
Calumet Heights       ,20114,118000.0
Calumet Heights       ,20121,111000.0
Calumet Heights       ,20122,131820.0
Calumet Heights       ,20123,122774.5
Calumet Heights       ,20124,128218.68
Chatham               ,20051,114400.0
Chatham               ,20052,115200.0
Chatham               ,20053,118000.0
Chatham               ,20054,120000.0
Chatham               ,20061,119500.0
Chatham               ,20062,116000.0
Chatham               ,20063,121500.0
Chatham               ,20064,132000.0
Chatham               ,20071,131560.35
Chatham               ,20072,134000.0
Chatham               ,20073,147000.0
Chatham               ,20074,143100.0
Chatham               ,20081,151150.0
Chatham               ,20082,160729.0
Chatham               ,20083,148058.5
Chatham               ,20084,182700.0
Chatham               ,20091,175500.0
Chatham               ,20092,166000.0
Chatham               ,20093,158574.0
Chatham               ,20094,144993.0
Chatham               ,20101,136100.0
Chatham               ,20102,129259.0
Chatham               ,20103,126935.0
Chatham               ,20104,118983.0
Chatham               ,20111,105004.0
Chatham               ,20112,130800.0
Chatham               ,20113,117000.0
Chatham               ,20114,108457.0
Chatham               ,20121,140743.5
Chatham               ,20122,139428.0
Chatham               ,20123,142700.0
Chatham               ,20124,132975.0
Chicago Lawn          ,20051,124000.0
Chicago Lawn          ,20052,129550.0
Chicago Lawn          ,20053,129660.0
Chicago Lawn          ,20054,130000.0
Chicago Lawn          ,20061,137600.0
Chicago Lawn          ,20062,132000.0
Chicago Lawn          ,20063,138375.0
Chicago Lawn          ,20064,141000.0
Chicago Lawn          ,20071,145000.0
Chicago Lawn          ,20072,138750.0
Chicago Lawn          ,20073,150800.0
