CA_name,YYYYQ_DOC,YYYYQ_DOC
Garfield Ridge        ,20091,273
Garfield Ridge        ,20092,325
Garfield Ridge        ,20093,259
Garfield Ridge        ,20094,256
Garfield Ridge        ,20101,163
Garfield Ridge        ,20102,202
Garfield Ridge        ,20103,187
Garfield Ridge        ,20104,286
Garfield Ridge        ,20111,185
Garfield Ridge        ,20112,182
Garfield Ridge        ,20113,202
Garfield Ridge        ,20114,229
Garfield Ridge        ,20121,238
Garfield Ridge        ,20122,261
Garfield Ridge        ,20123,289
Garfield Ridge        ,20124,297
Grand Boulevard       ,20051,82
Grand Boulevard       ,20052,81
Grand Boulevard       ,20053,117
Grand Boulevard       ,20054,77
Grand Boulevard       ,20061,77
Grand Boulevard       ,20062,92
Grand Boulevard       ,20063,90
Grand Boulevard       ,20064,104
Grand Boulevard       ,20071,73
Grand Boulevard       ,20072,60
Grand Boulevard       ,20073,55
Grand Boulevard       ,20074,54
Grand Boulevard       ,20081,51
Grand Boulevard       ,20082,48
Grand Boulevard       ,20083,27
Grand Boulevard       ,20084,23
Grand Boulevard       ,20091,22
Grand Boulevard       ,20092,18
Grand Boulevard       ,20093,23
Grand Boulevard       ,20094,30
Grand Boulevard       ,20101,8
Grand Boulevard       ,20102,25
Grand Boulevard       ,20103,21
Grand Boulevard       ,20104,18
Grand Boulevard       ,20111,12
Grand Boulevard       ,20112,7
Grand Boulevard       ,20113,9
Grand Boulevard       ,20114,11
Grand Boulevard       ,20121,21
Grand Boulevard       ,20122,16
Grand Boulevard       ,20123,18
Grand Boulevard       ,20124,14
Greater Grand Crossing,20051,243
Greater Grand Crossing,20052,257
Greater Grand Crossing,20053,287
Greater Grand Crossing,20054,310
Greater Grand Crossing,20061,260
Greater Grand Crossing,20062,337
Greater Grand Crossing,20063,313
Greater Grand Crossing,20064,252
Greater Grand Crossing,20071,266
Greater Grand Crossing,20072,196
Greater Grand Crossing,20073,178
Greater Grand Crossing,20074,163
Greater Grand Crossing,20081,139
Greater Grand Crossing,20082,122
Greater Grand Crossing,20083,96
Greater Grand Crossing,20084,91
Greater Grand Crossing,20091,81
Greater Grand Crossing,20092,83
Greater Grand Crossing,20093,66
Greater Grand Crossing,20094,62
Greater Grand Crossing,20101,50
Greater Grand Crossing,20102,59
Greater Grand Crossing,20103,42
Greater Grand Crossing,20104,48
Greater Grand Crossing,20111,35
Greater Grand Crossing,20112,60
Greater Grand Crossing,20113,39
Greater Grand Crossing,20114,35
Greater Grand Crossing,20121,34
Greater Grand Crossing,20122,29
Greater Grand Crossing,20123,44
Greater Grand Crossing,20124,50
Hegewisch             ,20051,96
Hegewisch             ,20052,128
Hegewisch             ,20053,160
Hegewisch             ,20054,152
Hegewisch             ,20061,118
Hegewisch             ,20062,132
Hegewisch             ,20063,112
Hegewisch             ,20064,133
Hegewisch             ,20071,102
Hegewisch             ,20072,107
Hegewisch             ,20073,111
Hegewisch             ,20074,81
Hegewisch             ,20081,63
Hegewisch             ,20082,77
Hegewisch             ,20083,59
Hegewisch             ,20084,49
Hegewisch             ,20091,51
Hegewisch             ,20092,49
Hegewisch             ,20093,52
Hegewisch             ,20094,60
Hegewisch             ,20101,37
Hegewisch             ,20102,57
Hegewisch             ,20103,55
Hegewisch             ,20104,57
Hegewisch             ,20111,39
Hegewisch             ,20112,29
Hegewisch             ,20113,49
Hegewisch             ,20114,41
Hegewisch             ,20121,44
Hegewisch             ,20122,43
Hegewisch             ,20123,41
Hegewisch             ,20124,63
Hermosa               ,20051,189
Hermosa               ,20052,225
Hermosa               ,20053,208
Hermosa               ,20054,183
Hermosa               ,20061,158
Hermosa               ,20062,205
Hermosa               ,20063,197
Hermosa               ,20064,201
Hermosa               ,20071,171
Hermosa               ,20072,152
Hermosa               ,20073,95
Hermosa               ,20074,90
Hermosa               ,20081,67
Hermosa               ,20082,58
Hermosa               ,20083,57
Hermosa               ,20084,35
Hermosa               ,20091,44
Hermosa               ,20092,47
Hermosa               ,20093,41
Hermosa               ,20094,43
Hermosa               ,20101,33
Hermosa               ,20102,29
Hermosa               ,20103,31
Hermosa               ,20104,31
Hermosa               ,20111,19
Hermosa               ,20112,22
Hermosa               ,20113,34
Hermosa               ,20114,45
Hermosa               ,20121,32
Hermosa               ,20122,33
Hermosa               ,20123,43
Hermosa               ,20124,45
Humboldt Park         ,20051,344
Humboldt Park         ,20052,421
Humboldt Park         ,20053,456
Humboldt Park         ,20054,404
Humboldt Park         ,20061,349
Humboldt Park         ,20062,359
