CA_name,PTYPE2011,bldg_assmt_11_psf
South Chicago                           ,TOWN HOUSE,6.774261638962154
South Chicago                           ,VACANT LAND,inf
South Cook                              ,2-6 UNIT,4.299768518518518
South Cook                              ,7+ UNIT,inf
South Cook                              ,COMM/IND,inf
South Cook                              ,CONDO,inf
South Cook                              ,NON PROFIT,inf
South Cook                              ,SINGLE FAMILY,6.425378722377496
South Cook                              ,TOWN HOUSE,6.627
South Cook                              ,VACANT LAND,9.180066571305126
South Deering                           ,2-6 UNIT,4.707575757575758
South Deering                           ,7+ UNIT,inf
South Deering                           ,COMM/IND,inf
South Deering                           ,CONDO,inf
South Deering                           ,SINGLE FAMILY,7.574242424242424
South Deering                           ,TOWN HOUSE,6.70944321164919
South Deering                           ,VACANT LAND,
South Lawndale                          ,2-6 UNIT,7.516798418972332
South Lawndale                          ,7+ UNIT,inf
South Lawndale                          ,COMM/IND,inf
South Lawndale                          ,CONDO,inf
South Lawndale                          ,NON PROFIT,inf
South Lawndale                          ,SINGLE FAMILY,11.467762326169407
South Lawndale                          ,TOWN HOUSE,12.466285714285714
South Lawndale                          ,VACANT LAND,inf
South Shore                             ,2-6 UNIT,5.118718229623138
South Shore                             ,7+ UNIT,inf
South Shore                             ,COMM/IND,inf
South Shore                             ,CONDO,inf
South Shore                             ,NON PROFIT,inf
South Shore                             ,SINGLE FAMILY,7.898360655737705
South Shore                             ,TOWN HOUSE,6.7592592592592595
South Shore                             ,VACANT LAND,inf
Southwest Cook                          ,2-6 UNIT,6.68026460859978
Southwest Cook                          ,7+ UNIT,inf
Southwest Cook                          ,COMM/IND,inf
Southwest Cook                          ,CONDO,inf
Southwest Cook                          ,NON PROFIT,inf
Southwest Cook                          ,SINGLE FAMILY,11.339962536137115
Southwest Cook                          ,TOWN HOUSE,11.450404858299596
Southwest Cook                          ,VACANT LAND,10.96418648234679
Uptown                                  ,2-6 UNIT,10.468392993145468
Uptown                                  ,7+ UNIT,inf
Uptown                                  ,COMM/IND,inf
Uptown                                  ,CONDO,inf
Uptown                                  ,NON PROFIT,9.130496342326753
Uptown                                  ,SINGLE FAMILY,21.384615384615383
Uptown                                  ,TOWN HOUSE,17.75211267605634
Uptown                                  ,VACANT LAND,
Washingon Park                          ,2-6 UNIT,4.572332865072629
Washingon Park                          ,7+ UNIT,inf
Washingon Park                          ,COMM/IND,inf
Washingon Park                          ,CONDO,inf
Washingon Park                          ,SINGLE FAMILY,8.318474264705882
Washingon Park                          ,TOWN HOUSE,81.5042735042735
Washingon Park                          ,VACANT LAND,inf
Washington Heights                      ,2-6 UNIT,4.332347140039448
Washington Heights                      ,7+ UNIT,inf
Washington Heights                      ,COMM/IND,inf
Washington Heights                      ,CONDO,inf
Washington Heights                      ,SINGLE FAMILY,8.552521186440678
Washington Heights                      ,TOWN HOUSE,6.279324055666004
Washington Heights                      ,VACANT LAND,
West Cook                               ,2-6 UNIT,6.61
West Cook                               ,7+ UNIT,inf
West Cook                               ,COMM/IND,inf
West Cook                               ,CONDO,inf
West Cook                               ,NON PROFIT,inf
West Cook                               ,SINGLE FAMILY,13.23024329533899
West Cook                               ,TOWN HOUSE,13.749799828928687
West Cook                               ,VACANT LAND,19.253408179631116
West Elsdon                             ,2-6 UNIT,11.312980634489861
West Elsdon                             ,7+ UNIT,inf
West Elsdon                             ,COMM/IND,inf
West Elsdon                             ,CONDO,inf
